Field,date,l1_category,l1_category_id,l2_category,l2_category_id,store_id,variant_id,variant_name,group_id,selling_price,mrp,in_stock,inventory,is_sponsored,image_url,brand_id,brand
,2025-08-04,Munchies,1237,Bhujia & Mixtures,1178,37740,318748,Chheda's Golden Mixture Namkeen,1911130,55,55,True,1,False,https://cdn.grofers.com/da/cms-assets/cms/product/6d016567-84bb-49b7-b46c-53fbca18e3a1.png,,Chheda's
,2025-08-04,Munchies,1237,Bhujia & Mixtures,1178,37740,19266,Haldiram's Bhujia,1910541,120,120,True,9,False,https://cdn.grofers.com/da/cms-assets/cms/product/405265f1-3c53-4c52-b39d-bdc26a83e6f6.png,,Haldiram's
,2025-08-04,Munchies,1237,Bhujia & Mixtures,1178,37740,11142,Haldiram's Fatafat Bhelpuri,1914092,40,40,True,50,False,https://cdn.grofers.com/da/cms-assets/cms/product/87af206e-52d3-4f1d-a66c-40fb64803f7f.png,,Haldiram's
,2025-08-04,Munchies,1237,Bhujia & Mixtures,1178,37740,19274,Haldiram's Bhelpuri / Bhelpuri,1914143,55,55,True,30,False,https://cdn.grofers.com/da/cms-assets/cms/product/acb8bea9-c0b4-4064-a823-502cd11a0785.png,,Haldiram's
,2025-08-04,Munchies,1237,Bhujia & Mixtures,1178,37740,495431,Let's Try Lite Multigrain Mixture Namkeen,1914594,108,120,True,7,False,https://cdn.grofers.com/da/cms-assets/cms/product/5f7cfecb-5add-4369-97d5-f155f434b882.png,,Let's Try
,2025-08-04,Munchies,1237,Bhujia & Mixtures,1178,37740,446887,Bikano All Time Mixture Namkeen,464926,69,70,True,19,False,https://cdn.grofers.com/da/cms-assets/cms/product/e7c73d97-38f8-4c17-984b-55f6f146e275.png,,Bikano
,2025-08-04,Munchies,1237,Bhujia & Mixtures,1178,37740,446889,Bikano Bikaneri Bhujia,536038,60,60,True,16,False,https://cdn.grofers.com/da/cms-assets/cms/product/c5e8b992-2425-414d-bce6-2b54dc3511b6.png,,Bikano
,2025-08-04,Munchies,1237,Bhujia & Mixtures,1178,37740,17707,Haldiram's Panchratan Mixture Namkeen,1913241,100,100,True,15,False,https://cdn.grofers.com/da/cms-assets/cms/product/409b6928-ca64-4b94-8c87-4f7892eaab99.png,,Haldiram's
,2025-08-04,Munchies,1237,Bhujia & Mixtures,1178,37740,559750,Protein Chef Madras Mixture Namkeen High Protein Healthy Snacks,1237744,98,99,True,3,False,https://cdn.grofers.com/da/cms-assets/cms/product/b3803d11-3482-4ac1-98a6-c51463b9cd28.png,,Protein Chef
,2025-08-04,Munchies,1237,Bhujia & Mixtures,1178,37740,19295,Haldiram's Moong Dal Namkeen,1911617,120,120,True,12,False,https://cdn.grofers.com/da/cms-assets/cms/product/544405b7-1b52-4ff5-836b-1b7a943c0378.png,,Haldiram's
,2025-08-04,Munchies,1237,Bhujia & Mixtures,1178,37740,11187,Haldiram's Kaju Mixture Namkeen,1913638,95,95,True,10,False,https://cdn.grofers.com/da/cms-assets/cms/product/7076c538-3022-490c-8007-db797f809114.png,,Haldiram's
